Color,H,S,V,Timestamp
YELLOW,25,103,97,16:34:43 Wednesday 18-06-2025
ORANGE,22,106,101,16:34:47 Wednesday 18-06-2025
YELLOW,27,102,113,16:34:48 Wednesday 18-06-2025
WHITE,27,13,214,16:34:49 Wednesday 18-06-2025
GRAY,40,10,171,16:35:02 Wednesday 18-06-2025
WHITE,28,11,225,16:35:03 Wednesday 18-06-2025
GRAY,43,11,174,16:35:06 Wednesday 18-06-2025
GRAY,55,14,163,16:35:07 Wednesday 18-06-2025
GRAY,48,11,170,16:35:08 Wednesday 18-06-2025
GREEN,52,108,64,16:35:09 Wednesday 18-06-2025
BLUE,120,60,62,16:35:10 Wednesday 18-06-2025
YELLOW,25,117,82,16:35:11 Wednesday 18-06-2025
ORANGE,18,120,82,16:35:12 Wednesday 18-06-2025
WHITE,12,1,254,16:35:16 Wednesday 18-06-2025
WHITE,12,1,254,16:35:19 Wednesday 18-06-2025
